League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 3,Doncaster Rovers,42,15,8,19,53,60.8,43,64,-21,27.7,49.2,0.93,1.34,10.24,30.6,16.15,16.02,16.32,1.24,1.4,9.67,57.03,62.0,53.81,44.5,10.39,330.27,75.7,3.28,53.46,55.8,56.79,46.8,68.64,11.51
England 3,Plymouth Argyle,42,19,6,17,63,64.0,66,58,8,26.1,48.9,1.41,1.53,10.99,36.1,13.04,15.17,15.43,1.22,1.22,10.07,55.87,62.0,56.9,47.0,8.96,300.03,74.8,3.2,47.32,55.8,49.07,46.2,61.02,9.26
England 3,Blackpool,43,14,9,20,51,48.3,51,65,-14,26.8,46.5,1.06,1.11,8.41,33.6,11.46,13.26,13.78,1.49,1.35,11.25,57.87,61.9,48.9,49.6,11.39,309.96,75.8,2.74,44.98,51.8,51.54,44.3,59.47,9.36
England 3,AFC Wimbledon,43,14,8,21,50,52.0,49,65,-16,26.8,46.2,1.04,1.17,9.1,30.8,14.22,13.52,12.99,1.41,1.38,10.23,58.72,61.4,56.28,43.4,10.38,325.58,75.1,2.5,53.52,57.8,61.63,50.3,71.81,8.0
England 3,Northampton Town,42,9,8,25,35,44.9,35,62,-27,27.0,46.1,0.76,1.03,7.57,33.2,15.04,15.41,13.39,1.62,1.35,12.11,55.48,63.2,56.2,43.9,9.92,276.57,72.8,2.89,48.1,52.2,54.11,47.1,59.49,7.9
England 3,Mansfield Town,41,13,15,13,54,57.9,50,43,7,29.0,46.0,1.11,1.25,9.36,34.0,15.11,13.51,14.44,1.24,0.96,9.73,60.44,64.9,48.58,47.9,12.12,339.13,75.6,2.36,49.33,55.6,54.8,44.8,66.47,10.62
England 3,Port Vale,41,9,11,21,38,53.7,33,55,-22,28.7,45.7,0.74,1.15,9.35,30.5,13.5,14.15,13.97,1.26,1.19,10.16,55.2,61.3,61.08,51.0,10.74,298.92,75.4,2.33,44.82,57.7,49.66,50.7,61.3,9.55
England 3,Wigan Athletic,43,14,13,16,55,54.7,49,56,-7,24.2,45.3,1.04,1.15,8.59,37.3,14.64,14.95,12.73,1.35,1.17,9.97,59.84,62.1,50.78,43.2,12.63,312.0,76.3,2.78,42.02,53.4,48.51,47.9,60.52,10.03
England 3,Rotherham United,42,9,10,23,37,45.4,36,65,-29,26.1,45.3,0.77,0.99,8.16,33.4,14.64,14.32,13.39,1.39,1.4,10.26,58.6,62.6,54.2,44.0,10.72,296.32,74.9,2.19,45.23,54.2,48.38,50.7,60.23,8.2
England 3,Burton Albion,43,13,12,18,51,55.0,46,56,-10,25.7,45.1,0.96,1.18,9.55,31.1,15.04,16.04,16.4,1.26,1.17,9.9,52.15,63.4,57.52,45.0,10.06,280.65,72.7,2.97,49.54,56.3,49.86,46.7,61.18,9.77
England 3,Stevenage,42,19,10,13,67,60.6,44,43,1,27.7,45.1,0.94,1.05,8.28,35.5,11.43,12.63,12.98,0.99,0.92,8.13,51.5,62.3,62.12,48.5,10.69,272.83,72.1,2.12,51.2,53.0,53.64,46.5,60.34,7.12
England 3,Lincoln City,42,28,9,5,93,72.0,79,36,43,27.6,42.5,1.7,1.5,10.8,38.0,12.72,11.94,17.08,1.01,0.77,9.32,58.94,62.1,57.42,46.2,11.13,284.24,75.3,2.56,50.31,58.2,53.94,53.4,62.76,8.1
England 4,Chesterfield,43,19,15,9,72,61.8,66,54,12,28.8,58.1,1.39,1.24,10.01,34.3,16.7,17.25,17.62,1.22,1.14,8.98,54.24,64.7,49.96,46.3,9.29,414.08,80.0,3.37,63.42,61.4,58.06,47.6,75.87,13.51
