League,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
England 5,Sutton United,33,8,11,14,35,37.9,46,54,-8,23.8,53.7,1.29,1.22,10.62,39.7,14.17,16.02,15.93,1.53,1.51,12.05,62.13,62.6,55.84,46.0,8.7,371.52,78.5,2.6,48.72,57.4,49.05,48.9,69.9,13.95
England 5,Altrincham,34,11,4,19,37,45.8,39,54,-15,25.3,53.3,1.07,1.28,10.94,39.0,14.24,20.5,16.13,1.28,1.34,11.59,57.58,62.3,38.52,46.6,12.63,382.72,81.9,2.84,48.39,61.4,49.76,52.2,68.13,13.23
England 5,Morecambe,34,6,9,19,27,35.7,46,74,-28,26.2,53.1,1.3,1.15,10.34,35.4,12.74,16.8,13.84,1.73,2.06,12.8,52.15,60.6,36.7,47.4,13.41,393.32,81.1,3.5,48.45,59.7,46.85,45.6,66.18,12.85
England 5,Aldershot Town,33,12,6,15,42,45.1,60,61,-1,25.0,52.7,1.72,1.63,11.72,35.0,16.43,19.71,18.13,1.57,1.72,10.54,64.66,65.7,50.9,45.7,9.35,363.02,79.0,3.45,57.68,61.5,54.55,50.9,72.07,14.54
England 5,Southend United,31,15,7,9,52,55.3,52,29,23,25.7,51.9,1.55,1.86,13.73,36.0,18.77,17.28,21.45,1.05,0.8,8.88,51.45,62.8,49.72,45.5,11.68,384.07,80.8,3.4,51.54,62.2,45.76,49.1,70.07,14.42
England 5,Gateshead,32,7,5,20,26,27.2,38,74,-36,23.8,51.2,1.06,1.16,9.78,32.6,11.4,16.26,14.98,2.2,2.07,14.19,59.91,59.5,40.6,44.8,13.76,385.57,81.4,4.28,53.7,59.2,53.26,46.3,67.28,14.11
England 5,Carlisle United,34,21,5,8,68,48.2,62,41,21,26.5,48.8,1.85,1.52,12.95,40.2,15.31,20.66,16.98,1.21,1.14,10.32,59.8,63.6,48.68,48.3,10.28,337.43,76.9,4.4,51.73,56.8,49.57,46.4,69.13,14.56
England 5,Woking,31,10,8,13,38,41.0,41,38,3,25.9,48.8,1.2,1.22,8.96,35.2,13.52,16.46,13.98,1.35,1.11,9.63,60.46,63.8,51.64,44.4,10.49,340.09,78.4,3.15,48.96,56.4,46.77,45.8,63.43,12.82
England 5,Scunthorpe United,32,16,9,7,60,43.3,57,46,11,27.1,48.4,1.75,1.57,11.99,37.6,13.74,16.47,18.56,1.34,1.2,10.46,56.41,63.2,53.22,44.8,9.9,326.5,74.2,3.25,60.34,57.0,58.44,47.7,71.53,12.21
England 5,Halifax Town,35,15,7,13,52,46.1,53,51,2,24.2,48.2,1.39,1.41,9.92,40.7,16.32,18.26,14.93,1.49,1.34,10.99,56.39,62.9,40.25,44.8,14.51,353.13,81.2,2.86,45.03,65.6,44.34,51.2,66.25,15.66
England 5,Hartlepool United,34,13,12,9,51,40.5,42,37,5,27.6,48.2,1.15,1.24,10.52,37.5,14.31,16.14,15.73,1.46,0.99,11.76,66.38,64.0,54.78,44.9,10.9,345.2,77.8,3.7,50.18,58.8,50.81,49.7,69.28,12.11
England 5,Braintree Town,34,7,9,18,30,34.8,24,49,-25,23.9,47.8,0.66,1.2,10.88,31.8,12.86,19.75,15.41,1.83,1.29,14.64,66.95,63.2,53.9,42.2,10.69,319.31,77.3,3.41,49.62,58.4,53.63,49.9,64.86,13.65
England 5,Solihull Moors,33,11,9,13,42,43.6,55,51,4,27.3,46.8,1.51,1.44,11.14,40.9,13.63,14.4,15.33,1.52,1.4,12.78,62.93,61.9,52.86,42.2,13.4,362.47,79.8,2.61,48.22,61.8,50.55,52.1,70.94,12.92
England 5,Yeovil Town,33,11,5,17,38,37.7,35,47,-12,26.0,45.4,0.98,1.13,9.03,34.6,9.48,15.9,12.19,1.46,1.29,12.72,60.2,62.4,46.1,47.2,14.01,307.54,78.8,3.04,44.07,56.3,47.53,47.4,58.37,10.55
England 5,Boston United,35,11,10,14,43,44.9,46,51,-5,25.4,43.8,1.21,1.15,9.05,37.3,14.56,15.2,14.64,1.29,1.27,9.79,65.01,64.3,58.47,44.4,11.02,300.55,74.2,3.06,53.01,56.3,54.75,49.3,65.75,9.82
England 5,Truro City,33,6,6,21,24,31.7,31,58,-27,26.0,43.6,0.89,0.88,7.81,36.3,12.16,13.1,14.36,1.35,1.6,10.56,62.48,65.2,64.25,43.4,10.6,286.13,74.8,2.77,53.47,54.4,55.33,50.8,61.28,9.3
England 5,Eastleigh,34,10,9,15,39,35.2,43,58,-15,25.8,41.6,1.2,1.15,8.46,40.6,11.94,14.2,12.42,1.62,1.56,11.69,62.18,65.5,51.63,42.5,14.02,287.92,75.2,3.74,44.65,49.8,49.95,46.9,58.74,9.57
England 5,Brackley Town,32,9,9,14,36,40.6,28,42,-14,28.0,40.1,0.82,1.15,8.13,40.5,15.36,16.55,13.87,1.24,1.17,11.51,60.24,61.2,55.73,46.3,13.24,248.93,74.8,1.49,40.74,58.7,45.03,52.2,58.29,9.65
England 5,Tamworth,33,11,9,13,42,37.0,42,52,-10,28.1,37.7,1.33,1.21,10.01,38.6,12.96,15.53,15.56,1.45,1.43,11.12,57.49,60.6,61.89,43.5,11.64,207.1,65.3,2.73,45.35,53.1,52.64,50.8,58.31,8.49
England 6,South Shields,32,21,8,3,71,53.3,71,28,43,24.1,64.2,2.07,1.6,11.41,43.0,15.85,19.56,18.6,1.08,0.79,8.17,57.1,64.9,27.38,42.1,9.64,499.16,83.3,5.78,62.12,65.0,43.23,44.2,76.13,18.95
